LABEL,TIME,FRAME
0+11/8,1.136,54528
1+0/1,1.952,93696
1+1/8,2.816,135168
1+1/4,3.376,162048
1+3/8,3.808,182784
1+1/2,4.336,208128
1+5/8,4.976,238848
1+3/4,5.536,265728
1+7/8,6.032,289536
1+1/1,6.48,311040
1+9/8,6.896,331008
1+5/4,7.344,352512
1+11/8,7.824,375552
2+0/1,8.352,400896
2+1/8,8.976,430848
2+1/4,9.376,450048
2+3/8,10.08,483840
2+1/2,10.56,506880
2+5/8,11.104,532992
2+3/4,11.68,560640
2+7/8,12.24,587520
2+1/1,12.736,611328
2+9/8,13.216,634368
2+5/4,13.68,656640
2+11/8,14.224,682752
3+0/1,14.848,712704
3+1/8,15.344,736512
3+1/4,15.824,759552
3+3/8,16.256,780288
3+1/2,16.704,801792
3+5/8,17.232,827136
3+3/4,17.68,848640
3+7/8,18.144,870912
3+1/1,18.576,891648
3+9/8,18.976,910848
3+5/4,19.472,934656
3+11/8,19.936,956928
4+0/1,20.384,978432
4+1/8,20.944,1005312
4+1/4,21.536,1033728
4+3/8,22.064,1059072
4+7/16,22.528,1081344
4+1/2,22.864,1097472
4+9/16,23.152,1111296
4+5/8,23.392,1122816
4+11/16,23.68,1136640
4+3/4,24.016,1152768
4+7/8,24.672,1184256
4+1/1,25.184,1208832
4+9/8,25.584,1228032
4+5/4,26.016,1248768
4+11/8,26.576,1275648
5+0/1,27.232,1307136
5+1/8,27.792,1334016
5+1/4,28.272,1357056
5+3/8,28.736,1379328
5+7/16,29.056,1394688
5+1/2,29.424,1412352
5+9/16,29.712,1426176
5+5/8,30.016,1440768
5+11/16,30.24,1451520
5+3/4,30.528,1465344
5+7/8,31.152,1495296
5+1/1,31.664,1519872
5+9/8,32.048,1538304
5+19/16,32.256,1548288
5+5/4,32.64,1566720
5+21/16,32.944,1581312
5+11/8,33.2,1593600
5+23/16,33.424,1604352
6+0/1,33.664,1615872
6+1/16,34,1632000
6+1/8,34.336,1648128
6+3/16,34.656,1663488
6+1/4,34.928,1676544
6+5/16,35.12,1685760
6+3/8,35.36,1697280
6+7/16,35.6,1708800
6+1/2,35.872,1721856
6+9/16,36.16,1735680
6+5/8,36.512,1752576
6+11/16,36.912,1771776
6+3/4,37.248,1787904
6+7/8,37.904,1819392
6+1/1,38.448,1845504
6+9/8,38.848,1864704
6+5/4,39.376,1890048
6+11/8,39.92,1916160
7+0/1,40.432,1940736
7+1/8,41.12,1973760
7+1/4,41.488,1991424
7+3/8,42.128,2022144
7+1/2,42.656,2047488
7+5/8,43.152,2071296
7+3/4,43.616,2093568
7+7/8,44.096,2116608
7+1/1,44.592,2140416
7+9/8,45.024,2161152
7+5/4,45.504,2184192
7+11/8,46,2208000
8+0/1,46.464,2230272
8+1/8,47.072,2259456
8+1/4,47.648,2287104
8+3/8,48.128,2310144
8+7/16,48.656,2335488
8+1/2,48.976,2350848
8+9/16,49.264,2364672
8+5/8,49.584,2380032
8+11/16,49.984,2399232
8+3/4,50.304,2414592
8+7/8,51.008,2448384
8+1/1,51.552,2474496
8+9/8,51.968,2494464
8+5/4,52.496,2519808
8+11/8,53.072,2547456
9+0/1,53.616,2573568
9+1/8,54.176,2600448
9+1/4,54.656,2623488
9+3/8,55.168,2648064
9+1/2,55.696,2673408
9+5/8,56.176,2696448
9+3/4,56.656,2719488
9+7/8,57.168,2744064
9+1/1,57.648,2767104
9+9/8,58.096,2788608
9+5/4,58.576,2811648
9+11/8,59.088,2836224
10+0/1,59.632,2862336
10+1/8,60.336,2896128
10+1/4,60.848,2920704
10+3/8,61.408,2947584
10+1/2,62.032,2977536
10+9/16,62.352,2992896
10+5/8,62.752,3012096
10+23/32,63.344,3040512
10+3/4,63.568,3051264
10+7/8,64.24,3083520
10+1/1,64.736,3107328
10+9/8,65.232,3131136
10+5/4,65.712,3154176
10+11/8,66.304,3182592
11+0/1,66.832,3207936
11+1/8,67.488,3239424
11+1/4,68,3264000
11+3/8,68.4,3283200
11+1/2,68.832,3303936
11+5/8,69.344,3328512
11+3/4,69.824,3351552
11+7/8,70.336,3376128
11+1/1,70.784,3397632
11+9/8,71.184,3416832
11+5/4,71.664,3439872
11+11/8,72.08,3459840
12+0/1,72.576,3483648
12+1/8,73.072,3507456
12+1/4,73.488,3527424
12+3/8,73.856,3545088
12+1/2,74.448,3573504
12+5/8,74.896,3595008
12+3/4,75.344,3616512
12+7/8,75.968,3646464
12+1/1,76.544,3674112
12+9/8,77.104,3700992
12+5/4,77.728,3730944
12+11/8,78.528,3769344
13+0/1,79.6,3820800
13+1/8,80.576,3867648
13+1/4,81.136,3894528
13+5/16,81.536,3913728
13+3/8,81.856,3929088
13+7/16,82.064,3939072
13+1/2,82.384,3954432
13+9/16,82.608,3965184
13+5/8,82.976,3982848
13+23/32,83.52,4008960
13+3/4,83.712,4018176
13+7/8,84.288,4045824
13+1/1,84.816,4071168
13+9/8,85.28,4093440
13+19/16,85.488,4103424
13+5/4,85.888,4122624
13+21/16,86.176,4136448
13+11/8,86.512,4152576
13+23/16,86.688,4161024
14+0/1,86.928,4172544
14+1/16,87.296,4190208
14+1/8,87.632,4206336
14+3/16,87.872,4217856
14+1/4,88.112,4229376
14+5/16,88.32,4239360
14+3/8,88.608,4253184
14+7/16,88.8,4262400
14+1/2,89.12,4277760
14+9/16,89.376,4290048
14+5/8,89.728,4306944
14+11/16,90.112,4325376
14+3/4,90.496,4343808
14+7/8,91.184,4376832
14+1/1,91.696,4401408
14+9/8,92.16,4423680
14+5/4,92.672,4448256
14+11/8,93.136,4470528
15+0/1,93.744,4499712
15+1/8,94.416,4531968
15+1/4,94.832,4551936
15+3/8,95.376,4578048
15+1/2,95.952,4605696
15+5/8,96.448,4629504
15+3/4,96.944,4653312
15+7/8,97.44,4677120
15+1/1,97.92,4700160
15+9/8,98.368,4721664
15+5/4,98.864,4745472
15+11/8,99.344,4768512
16+0/1,99.808,4790784
16+1/8,100.432,4820736
